maxord,nonlin_conv_coef,max_conv_fails,maxl,epslin,runtime
1,0.584591,43,297,0.868707,210.949509
2,0.806275,40,77,0.693594,171.620764
3,0.0115,7,312,0.062494,34.382434
1,0.097516,14,10,0.215755,64.743137
1,0.611068,14,149,0.63925,147.518498
1,0.662907,47,54,0.567634,139.24478
2,0.333091,37,200,0.487328,13.559117
3,0.247858,10,432,0.861754,13.072611
2,0.531442,45,109,0.345436,12.04314
1,0.577955,16,99,0.625112,109.899315
2,0.180244,17,116,0.264365,17.821971
2,0.721634,49,429,0.039636,22.301124
2,0.564042,17,237,0.100591,21.194527
3,0.365876,20,285,0.321147,12.701947
4,0.263802,16,234,0.775362,12.731588
4,0.278378,8,171,0.052009,17.34102
2,0.862371,28,63,0.306487,9.946823
3,0.356081,16,459,0.428656,14.134346
2,0.316033,20,303,0.288987,15.54379
4,0.142841,42,30,0.787108,8.630272
2,0.173689,7,180,0.235221,23.44484
3,0.290408,6,161,0.782322,10.551431
4,0.706702,23,215,0.204315,12.077634
1,0.559599,42,357,0.536391,41.997812
4,0.797943,20,15,0.585074,9.207733
2,0.486159,50,290,0.404905,12.240037
4,0.297628,13,481,0.758298,11.01786
3,0.021967,22,85,0.137043,25.190256
4,0.058138,27,5,0.252879,48.553741
3,0.516727,30,139,0.543038,9.215216
1,0.323638,33,489,0.492377,49.691789
5,0.523091,46,197,0.870427,9.406433
4,0.501741,15,415,0.027453,17.915347
4,0.637339,7,341,0.447401,17.132979
3,0.439848,19,467,0.443273,12.210838
3,0.003289,25,183,0.285354,32.675788
3,0.386509,47,384,0.401764,13.709789
1,0.624964,31,257,0.810293,173.826106
5,0.553029,43,264,0.450593,11.229094
4,0.428514,8,229,0.312271,14.972867
3,0.064553,19,320,0.739113,10.4652
2,0.68339,18,309,0.65125,12.229789
4,0.852505,36,443,0.003883,20.549594
1,0.842359,9,74,0.30028,135.919246
4,0.036611,25,173,0.683678,12.950713
4,0.450105,34,132,0.419058,11.52982
2,0.507975,38,352,0.721782,8.639003
5,0.207622,38,378,0.144472,16.43161
4,0.192986,44,283,0.139028,16.511665
4,0.421408,41,241,0.090771,10.835621
2,0.114151,24,495,0.726742,16.998599
3,0.617013,22,10,0.375117,34.535118
3,0.275855,30,127,0.763477,9.819136
4,0.090822,19,306,0.590152,11.150849
3,0.81139,29,491,0.62394,39.187007
5,0.479215,14,108,0.178114,12.059601
3,0.76756,37,208,0.605697,15.135307
1,0.374524,9,392,0.52286,39.764183
3,0.162312,5,97,0.890293,11.943571
5,0.396242,18,389,0.885329,9.054622
3,0.465449,3,60,0.348467,11.788025
5,0.074367,7,205,0.084034,16.249279
5,0.816173,26,81,0.508027,8.350373
4,0.243507,36,425,0.10586,15.086276
4,0.846068,32,337,0.056474,11.304148
2,0.892724,23,478,0.73494,820.476908
1,0.691841,21,58,0.800494,173.899036
3,0.822242,21,272,0.38415,8.107575
3,0.759532,37,301,0.470017,9.205296
5,0.032396,43,23,0.031072,54.637836
2,0.419848,33,164,0.336597,14.287032
4,0.069274,26,440,0.503745,15.046119
2,0.835652,35,166,0.819597,425.485878
4,0.496261,15,51,0.478377,11.153023
3,0.883629,49,124,0.2299,12.274091
5,0.545429,24,366,0.380365,12.545292
3,0.152257,4,34,0.079431,13.330605
3,0.459304,42,412,0.558586,11.237838
2,0.30631,21,461,0.805075,11.350253
5,0.014567,27,226,0.556789,15.124455
3,0.574998,12,269,0.574069,8.792237
3,0.802835,24,45,0.435287,39.135976
1,0.343352,48,358,0.326857,43.509941
5,0.655359,11,242,0.611538,9.169344
4,0.550908,46,452,0.834437,10.354899
4,0.869583,43,475,0.391689,20.019417
4,0.300579,50,49,0.242107,11.540347
3,0.878701,6,346,0.130703,13.261815
2,0.158033,32,70,0.551959,14.88136
4,0.227232,13,261,0.709446,12.331284
4,0.594505,34,154,0.155254,12.394657
3,0.697269,32,86,0.826985,280.593679
3,0.046524,45,194,0.877348,16.230446
5,0.70831,12,26,0.200404,10.487819
2,0.686958,34,372,0.194466,14.47051
3,0.770654,29,402,0.221877,13.776169
5,0.872007,31,434,0.073095,13.755261
3,0.200375,40,444,0.706797,11.866191
3,0.651182,4,147,0.170013,12.963154
4,0.672971,29,191,0.112394,12.307614
2,0.645435,38,36,0.01453,15.651307
1,0.286839,44,407,0.189478,57.836145
4,0.832562,39,377,0.700998,538.026081
4,0.618927,35,18,0.580829,8.277739
3,0.324902,36,423,0.011208,25.951063
3,0.511613,12,132,0.018367,19.900397
5,0.434172,11,333,0.676155,9.396506
2,0.392456,47,28,0.828841,8.503515
4,0.538082,40,294,0.854495,8.61203
2,0.744342,12,281,0.519296,8.435421
4,0.774209,21,252,0.116425,8.904369
2,0.11036,9,344,0.357124,21.07771
4,0.484188,31,136,0.467984,11.624247
3,0.739162,30,420,0.594815,10.372313
1,0.381855,41,225,0.22606,42.676966
2,0.265566,49,186,0.332382,15.858241
2,0.785318,33,473,0.846799,797.042068
5,0.34138,45,325,0.408958,12.201276
5,0.34979,48,382,0.635699,12.580085
4,0.787381,24,144,0.533282,7.881112
4,0.146476,29,323,0.749444,13.376487
2,0.445448,23,450,0.161957,18.116723
3,0.898034,35,95,0.259257,10.472969
4,0.60496,15,276,0.656135,8.429069
2,0.73604,42,211,0.364021,9.741605
5,0.406952,22,400,0.458908,11.28224
1,0.050391,27,464,0.89651,60.307507
2,0.102947,11,43,0.668149,14.958771
5,0.754429,28,484,0.24957,13.016615
1,0.23617,46,499,0.369459,57.898379
2,0.412033,45,90,0.120977,19.446507
3,0.079633,25,249,0.842831,12.756475
5,0.252495,17,120,0.483325,11.597535
3,0.671958,39,370,0.423427,10.07877
4,0.174945,38,67,0.769262,11.430313
1,0.221938,10,361,0.616457,44.859052
2,0.089873,5,267,0.750153,17.701383
2,0.124772,10,248,0.278136,21.04251
3,0.027966,35,408,0.664684,15.783802
2,0.213474,15,219,0.045393,29.160835
2,0.5932,9,349,0.067576,20.352088
2,0.187745,5,156,0.646173,13.822587
1,0.470811,40,178,0.687407,112.645363
2,0.633719,4,105,0.298784,11.154836
4,0.368473,6,316,0.796411,9.790872
1,0.728567,18,455,0.273668,43.51799
2,0.229989,26,115,0.182937,20.206467
4,0.129394,27,396,0.714801,11.639429
4,0.137112,4,330,0.163576,13.48096
2,0.715211,48,217,0.512519,8.047683
3,0.808786,50,500,0.541652,9.731266
5,0.782522,19,3,0.05077,100000000.0
4,0.095127,47,237,0.705301,12.229644
4,0.268295,38,263,0.885299,9.871962
3,0.383285,28,164,0.757779,13.786303
4,0.311716,21,64,0.615271,10.800382
5,0.273086,48,336,0.525303,12.777077
4,0.020749,40,201,0.658403,15.992766
4,0.051358,34,266,0.478405,12.667902
4,0.131718,12,164,0.62,13.241192
4,0.03822,20,192,0.799998,12.639266
3,0.218218,30,93,0.789556,12.158564
3,0.398216,34,125,0.73092,9.455522
3,0.270774,25,224,0.705514,11.652278
4,0.090776,15,187,0.716133,13.876637
4,0.254519,25,235,0.713233,10.819028
3,0.434517,34,135,0.739717,10.647276
3,0.254519,44,93,0.724395,12.149397
4,0.074521,34,193,0.749964,10.507083
5,0.25304,27,209,0.729438,13.530135
4,0.433038,36,109,0.693437,9.639903
3,0.25304,32,164,0.715911,10.387197
3,0.101948,30,157,0.785257,9.642778
3,0.253584,39,169,0.649105,11.687237
4,0.063918,39,304,0.47784,13.523265
4,0.125982,30,293,0.520764,9.981901
4,0.217655,30,70,0.829103,11.172687
5,0.130333,21,169,0.728112,12.591624
2,0.445429,6,15,0.778953,8.423967
4,0.101702,39,237,0.57876,10.720358
3,0.2817,30,137,0.758758,10.741673
4,0.160546,39,91,0.865974,10.600499
4,0.020749,40,201,0.658407,16.023754
4,0.051357,34,266,0.478409,12.61057
4,0.063918,39,304,0.477851,13.606725
4,0.125982,30,293,0.520773,10.034282
4,0.08537,39,292,0.607327,9.904911
4,0.115116,43,193,0.4689,10.506556
3,0.443678,25,10,0.357673,9.933526
4,0.121816,33,260,0.592561,13.414406
4,0.093088,49,328,0.345305,10.852853
4,0.283471,30,190,0.747467,12.014795
4,0.103473,40,254,0.679107,12.293557
3,0.283471,45,250,0.705469,12.451536
4,0.083614,24,293,0.573876,11.627893
4,0.083598,33,206,0.452011,14.42341
4,0.117261,46,253,0.685578,12.080932
4,0.126448,37,244,0.50558,12.327395
4,0.1046,40,311,0.63224,13.064766
4,0.093088,49,406,0.396233,14.581891
4,0.137127,25,214,0.62307,13.017472
4,0.393727,35,183,0.834591,8.70735
4,0.213729,26,91,0.734649,12.771253
4,0.139924,35,161,0.728516,16.624776
4,0.153687,45,215,0.776854,11.252936
4,0.239413,47,141,0.739507,12.231139
3,0.099692,38,82,0.667477,12.374637
4,0.272865,31,182,0.808506,12.751487
4,0.27799,40,281,0.644167,13.335389
4,0.26051,31,244,0.742119,12.857566
3,0.243724,29,145,0.858211,11.550541
4,0.093389,37,238,0.75924,11.748808
4,0.182655,32,224,0.646676,14.55163
4,0.287736,41,150,0.793048,12.437232
4,0.107738,44,203,0.711225,9.849033
3,0.317125,15,115,0.803068,9.825583
4,0.093088,49,239,0.345305,10.675607
4,0.049001,50,324,0.407948,14.135244
4,0.094473,41,290,0.587946,12.933493
3,0.110476,31,190,0.649337,8.867895
4,0.054752,37,104,0.669712,12.303499
4,0.121541,45,203,0.489714,13.522201
4,0.119445,39,208,0.63034,13.866324
4,0.082494,41,170,0.762836,12.991482
4,0.071268,44,205,0.626782,12.559042
4,0.072968,43,123,0.449394,16.012539
4,0.11123,39,201,0.403007,13.919441
4,0.090089,41,117,0.583005,12.197441
4,0.079567,38,216,0.466356,12.931424
4,0.11221,46,246,0.646354,11.798463
4,0.071443,37,217,0.756776,12.290658
3,0.07374,43,118,0.576778,10.624015
4,0.131577,35,125,0.39678,12.594254
4,0.098718,40,224,0.576778,14.467425
4,0.063944,48,156,0.704845,14.012791
3,0.100965,38,77,0.54288,10.074126
4,0.091279,41,177,0.515128,9.855745
4,0.079041,39,172,0.580056,11.96118
3,0.085076,32,115,0.443072,13.819758
5,0.125059,46,350,0.587946,9.721304
5,0.146103,37,250,0.767944,12.744171
4,0.163353,33,151,0.635781,10.934381
3,0.209687,42,132,0.70976,13.170928
3,0.23802,36,33,0.619244,10.362456
4,0.129936,42,19,0.586819,10.950316
4,0.161441,33,70,0.63646,12.387819
4,0.149877,42,169,0.695944,12.672391
3,0.092808,35,269,0.691855,13.038502
3,0.139112,27,169,0.671085,11.890866
3,0.30301,35,70,0.664926,12.014475
4,0.21879,32,169,0.699029,13.689543
4,0.038792,28,129,0.660244,15.612602
4,0.106238,29,81,0.67379,8.701208
3,0.229689,39,120,0.622006,10.862948
3,0.055847,35,130,0.683511,13.097311
3,0.21622,44,40,0.614506,11.047902
4,0.042394,37,139,0.771457,15.435298
4,0.222392,46,238,0.591459,11.875115
3,0.089928,37,139,0.498658,14.862454
3,0.112271,32,95,0.569626,14.254248
2,0.265074,24,15,0.592065,9.741346
5,0.144389,47,250,0.767944,12.192582
4,0.324387,37,151,0.587946,11.81652
4,0.354183,37,117,0.407948,11.935549
3,0.174185,46,216,0.458098,12.720543
4,0.250286,37,201,0.638096,13.198711
3,0.267372,35,124,0.589348,12.772527
4,0.356308,45,197,0.556258,9.900764
3,0.230469,43,262,0.501261,12.894826
2,0.123426,44,162,0.681259,16.126876
2,0.303424,34,122,0.501261,13.878417
3,0.278086,44,111,0.67769,11.473927
3,0.328708,47,210,0.640374,9.804379
3,0.302694,37,242,0.460376,12.440464
4,0.301559,44,143,0.331291,8.42417
3,0.121561,35,134,0.481201,14.856456
2,0.295835,40,209,0.506589,13.920056
2,0.328124,49,277,0.54213,13.050071
3,0.148126,40,178,0.492713,14.256734
3,0.328124,33,213,0.672711,11.682839
4,0.148126,42,273,0.53277,9.730975
2,0.445072,33,115,0.414907,12.17993
4,0.045105,49,305,0.321087,17.175486
4,0.093088,49,353,0.531553,10.628784
4,0.045569,50,260,0.587946,15.216815
3,0.225328,41,177,0.66725,12.005022
4,0.142634,31,276,0.627178,9.077325
4,0.212273,41,245,0.613787,14.342574
3,0.217008,47,195,0.638963,13.163716
4,0.078084,38,253,0.625677,11.120699
4,0.258082,28,204,0.67069,12.270223
5,0.078084,27,238,0.665159,10.287166
4,0.045105,49,305,0.321106,17.260266
4,0.065335,50,319,0.365064,14.33356
4,0.258082,36,246,0.67245,12.642613
4,0.078084,29,204,0.7269,15.244177
3,0.145562,22,258,0.67954,13.648802
3,0.32556,31,192,0.605807,10.836026
4,0.145562,41,254,0.582948,12.749256
3,0.059925,36,210,0.762946,15.846526
