maxord,nonlin_conv_coef,max_conv_fails,maxl,epslin,runtime1,0.584591,43,297,0.868707,131.777542
2,0.806275,40,77,0.693594,46.412448
3,0.0115,7,312,0.062494,8.656191
1,0.097516,14,10,0.215755,21.300129
1,0.611068,14,149,0.63925,65.705976
1,0.662907,47,54,0.567634,45.231157
2,0.333091,37,200,0.487328,4.43859
3,0.247858,10,432,0.861754,5.041758
2,0.531442,45,109,0.345436,3.846915
1,0.577955,16,99,0.625112,52.071326
2,0.180244,17,116,0.264365,6.689923
2,0.721634,49,429,0.039636,8.356235
2,0.564042,17,237,0.100591,6.391618
3,0.365876,20,285,0.321147,4.904234
4,0.263802,16,234,0.775362,3.924159
4,0.278378,8,171,0.052009,4.350351
2,0.862371,28,63,0.306487,3.022855
3,0.356081,16,459,0.428656,6.508342
2,0.316033,20,303,0.288987,5.732053
4,0.142841,42,30,0.787108,4.144402
2,0.173689,7,180,0.235221,7.054208
3,0.290408,6,161,0.782322,5.702993
4,0.706702,23,215,0.204315,4.844619
1,0.559599,42,357,0.536391,19.748101
4,0.797943,20,15,0.585074,3.344696
2,0.486159,50,290,0.404905,4.141462
4,0.297628,13,481,0.758298,5.862
3,0.021967,22,85,0.137043,7.113953
4,0.058138,27,5,0.252879,15.87933
3,0.516727,30,139,0.543038,12.742392
1,0.323638,33,489,0.492377,31.462299
5,0.523091,46,197,0.870427,112.620831
4,0.501741,15,415,0.027453,4.430289
4,0.637339,7,341,0.447401,4.394379
3,0.439848,19,467,0.443273,5.663977
3,0.003289,25,183,0.285354,8.458227
3,0.386509,47,384,0.401764,5.059632
1,0.624964,31,257,0.810293,115.09633
5,0.553029,43,264,0.450593,3.949015
4,0.428514,8,229,0.312271,5.219032
3,0.064553,19,320,0.739113,3.558643
2,0.68339,18,309,0.65125,5.550549
4,0.852505,36,443,0.003883,6.136963
1,0.842359,9,74,0.30028,10.374131
4,0.036611,25,173,0.683678,4.131987
4,0.450105,34,132,0.419058,3.918874
2,0.507975,38,352,0.721782,4.708541
5,0.207622,38,378,0.144472,4.758634
4,0.192986,44,283,0.139028,4.542344
4,0.421408,41,241,0.090771,4.407486
2,0.114151,24,495,0.726742,6.822963
3,0.617013,22,10,0.375117,5.360027
3,0.275855,30,127,0.763477,4.036412
4,0.090822,19,306,0.590152,3.664316
3,0.81139,29,491,0.62394,29.939951
5,0.479215,14,108,0.178114,4.586166
3,0.76756,37,208,0.605697,6.790176
1,0.374524,9,392,0.52286,24.263807
3,0.162312,5,97,0.890293,4.499238
5,0.396242,18,389,0.885329,64.128669
3,0.465449,3,60,0.348467,4.667621
5,0.074367,7,205,0.084034,4.21999
5,0.816173,26,81,0.508027,3.060759
4,0.243507,36,425,0.10586,4.908632
4,0.846068,32,337,0.056474,3.775303
2,0.892724,23,478,0.73494,652.198452
1,0.691841,21,58,0.800494,57.025912
3,0.822242,21,272,0.38415,3.800905
3,0.759532,37,301,0.470017,4.72907
5,0.032396,43,23,0.031072,19.303487
2,0.419848,33,164,0.336597,4.228041
4,0.069274,26,440,0.503745,4.353908
2,0.835652,35,166,0.819597,146.226676
4,0.496261,15,51,0.478377,3.413953
3,0.883629,49,124,0.2299,4.893285
5,0.545429,24,366,0.380365,4.664277
3,0.152257,4,34,0.079431,5.106638
3,0.459304,42,412,0.558586,5.187101
2,0.30631,21,461,0.805075,5.224019
5,0.014567,27,226,0.556789,3.863905
3,0.574998,12,269,0.574069,12.827187
3,0.802835,24,45,0.435287,3.1129
1,0.343352,48,358,0.326857,24.623497
5,0.655359,11,242,0.611538,3.953564
4,0.550908,46,452,0.834437,14.860951
4,0.869583,43,475,0.391689,5.924083
4,0.300579,50,49,0.242107,3.145379
3,0.878701,6,346,0.130703,4.400539
2,0.158033,32,70,0.551959,5.175716
4,0.227232,13,261,0.709446,4.70868
4,0.594505,34,154,0.155254,4.545364
3,0.697269,32,86,0.826985,104.358751
3,0.046524,45,194,0.877348,4.865789
5,0.70831,12,26,0.200404,3.544873
2,0.686958,34,372,0.194466,5.160562
3,0.770654,29,402,0.221877,5.016592
5,0.872007,31,434,0.073095,5.291787
3,0.200375,40,444,0.706797,6.00064
3,0.651182,4,147,0.170013,5.27075
4,0.672971,29,191,0.112394,4.703479
2,0.645435,38,36,0.01453,5.64779
1,0.286839,44,407,0.189478,32.689032
4,0.832562,39,377,0.700998,469.706678
4,0.618927,35,18,0.580829,3.026305
3,0.324902,36,423,0.011208,6.968277
3,0.511613,12,132,0.018367,5.295404
5,0.434172,11,333,0.676155,4.398967
2,0.392456,47,28,0.828841,3.254149
4,0.538082,40,294,0.854495,7.980304
2,0.744342,12,281,0.519296,4.814638
4,0.774209,21,252,0.116425,4.554993
2,0.11036,9,344,0.357124,7.65465
4,0.484188,31,136,0.467984,3.511792
3,0.739162,30,420,0.594815,8.706849
1,0.381855,41,225,0.22606,18.441296
2,0.265566,49,186,0.332382,5.615783
2,0.785318,33,473,0.846799,713.811238
5,0.34138,45,325,0.408958,4.864373
5,0.34979,48,382,0.635699,4.718721
4,0.787381,24,144,0.533282,4.738265
4,0.146476,29,323,0.749444,4.948107
2,0.445448,23,450,0.161957,7.55839
3,0.898034,35,95,0.259257,6.231772
4,0.60496,15,276,0.656135,4.71085
2,0.73604,42,211,0.364021,3.854947
5,0.406952,22,400,0.458908,4.800694
1,0.050391,27,464,0.89651,36.752548
2,0.102947,11,43,0.668149,5.092954
5,0.754429,28,484,0.24957,4.989367
1,0.23617,46,499,0.369459,35.905612
2,0.412033,45,90,0.120977,6.302456
3,0.079633,25,249,0.842831,4.927959
5,0.252495,17,120,0.483325,4.127124
3,0.671958,39,370,0.423427,4.720745
4,0.174945,38,67,0.769262,4.074812
1,0.221938,10,361,0.616457,23.986584
2,0.089873,5,267,0.750153,6.624084
2,0.124772,10,248,0.278136,7.555331
3,0.027966,35,408,0.664684,4.505428
2,0.213474,15,219,0.045393,9.540709
2,0.5932,9,349,0.067576,7.562204
2,0.187745,5,156,0.646173,4.84758
1,0.470811,40,178,0.687407,53.422303
2,0.633719,4,105,0.298784,3.677034
4,0.368473,6,316,0.796411,17.694214
1,0.728567,18,455,0.273668,26.908316
2,0.229989,26,115,0.182937,7.015218
4,0.129394,27,396,0.714801,5.457258
4,0.137112,4,330,0.163576,4.689938
2,0.715211,48,217,0.512519,3.578086
3,0.9,3,3,0.862259,85.50903
5,0.229437,50,381,0.9,4.640697
4,0.716264,50,500,0.555872,6.375858
5,0.432072,50,3,0.651811,82.389012
3,0.9,50,500,0.537533,78.007916
5,0.9,50,12,1e-05,3.21146
1,0.690098,3,500,0.622562,305.861853
4,0.095127,47,237,0.705301,4.923731
4,0.268295,38,263,0.885299,7.507559
3,0.324777,46,15,1e-05,4.469868
3,0.383285,28,164,0.757779,3.271708
5,0.796824,50,500,0.49958,6.822972
4,0.311716,21,64,0.615271,4.300458
4,0.131718,12,164,0.62,4.715137
4,0.03822,20,192,0.799998,4.088986
3,0.218218,30,93,0.789556,4.881286
3,0.398216,34,125,0.73092,6.474129
3,0.270774,25,224,0.705514,3.999469
4,0.090776,15,187,0.716133,4.68308
4,0.254519,25,235,0.713233,4.21787
3,0.434517,34,135,0.739717,4.979259
3,0.254519,44,93,0.724395,3.784546
4,0.074521,34,193,0.749964,4.9196
5,0.25304,27,209,0.729438,4.251674
4,0.433038,36,109,0.693437,3.142244
3,0.25304,32,164,0.715911,4.94978
3,0.101948,30,157,0.785257,4.903411
3,0.253584,39,169,0.649105,5.981218
4,0.217655,30,70,0.829103,4.574934
5,0.130333,21,169,0.728112,4.523714
2,0.445429,6,15,0.778953,3.014223
5,0.273086,48,336,0.525303,5.253923
4,0.101702,39,237,0.57876,3.779137
3,0.2817,30,137,0.758758,3.440204
4,0.160546,39,91,0.865974,4.320973
5,0.693364,3,500,0.045108,4.436577
4,0.283471,30,190,0.747467,4.363935
4,0.103473,40,254,0.679107,4.912731
3,0.283471,45,250,0.705469,4.180408
1,0.324151,3,3,0.440631,100000000.0
4,0.393727,35,183,0.834591,3.619949
4,0.213729,26,91,0.734649,3.993811
4,0.139924,35,161,0.728516,4.298659
4,0.153687,45,215,0.776854,4.779788
4,0.239413,47,141,0.739507,4.114235
3,0.099692,38,82,0.667477,4.599846
4,0.272865,31,182,0.808506,8.234513
4,0.27799,40,281,0.644167,4.182744
4,0.26051,31,244,0.742119,3.737073
3,0.243724,29,145,0.858211,3.968723
4,0.093389,37,238,0.75924,4.954623
4,0.182655,32,224,0.646676,3.376376
4,0.287736,41,150,0.793048,6.211636
4,0.107738,44,203,0.711225,4.383307
3,0.317125,15,115,0.803068,3.286575
4,0.093088,49,239,0.345305,5.155942
4,0.016819,47,151,0.525303,3.536979
5,0.203739,23,256,0.598152,5.036403
3,1e-05,3,174,1e-05,37.889735
4,0.619686,39,391,0.358706,4.761317
2,0.691136,23,262,0.455282,3.916735
3,1e-05,3,242,1e-05,38.002759
4,0.357002,9,386,0.228127,5.527457
2,0.465823,19,224,0.710146,3.517332
4,0.093088,49,328,0.472561,4.846559
3,0.004817,40,228,0.652559,6.839916
4,0.073719,39,167,0.525303,3.800213
4,0.093088,49,328,0.472581,4.783231
3,0.004735,40,228,0.652579,6.866287
4,0.168888,31,176,0.748246,4.622112
4,0.126738,32,275,0.682183,4.576257
4,0.168854,31,176,0.748283,4.993735
4,0.469709,3,345,0.290021,5.211146
4,0.087053,34,227,0.651301,4.42149
4,0.126752,32,275,0.682187,5.158188
4,0.163523,34,206,0.604997,4.635599
1,0.281219,34,261,0.751421,15.996103
4,0.040468,40,170,0.569582,4.360283
4,0.130647,32,199,0.628908,4.085097
4,0.415845,27,405,0.494615,4.64053
4,0.093088,49,251,0.345305,5.101378
4,0.150299,45,216,0.609385,4.548646
4,0.132641,41,201,0.606116,4.565761
4,0.170413,32,202,0.612322,4.420818
4,0.156444,22,218,0.618817,4.716417
4,0.093088,50,345,0.696006,3.758748
4,0.13383,27,213,0.616173,4.45319
1,0.66426,29,289,0.488432,102.728751
4,0.3476,49,265,0.681707,3.96084
4,0.158097,36,177,0.615577,4.459023
4,0.148466,35,230,0.630794,4.99072
4,0.137127,25,214,0.62307,3.432514
3,0.185185,39,184,0.447642,3.61428
4,0.153162,46,230,0.450475,4.90866
3,0.581003,3,283,0.424438,7.984175
3,0.185267,39,184,0.447656,4.608566
4,0.299431,36,130,0.45883,4.349408
3,0.549569,39,360,0.261538,5.61735
3,0.188862,46,143,0.455533,3.798973
3,0.495289,21,500,0.530386,5.7999
3,0.310728,36,243,0.456091,4.853152
4,0.13073,29,189,0.474428,4.665628
3,0.174601,33,142,0.42086,4.623114
3,0.218718,30,260,0.488325,4.698665
3,0.272655,22,271,0.475932,5.364694
4,0.000177,50,383,0.146052,12.452966
4,0.161455,32,189,0.43461,4.608609
4,0.067703,43,153,0.308842,3.909807
3,0.076987,34,262,0.47982,3.872731
4,0.239665,42,163,0.422302,4.387209
4,0.118017,49,397,0.375095,4.748614
3,0.059667,33,262,0.471124,3.717821
4,0.067248,49,363,0.428664,4.220851
3,0.082806,37,322,0.497231,4.790281
4,0.102394,44,223,0.407452,3.809429
4,0.093088,49,305,0.345305,5.226385
3,0.282392,35,146,0.48084,4.32648
3,0.317125,16,165,0.443072,4.251134
4,0.13224,49,343,0.300504,3.757355
4,0.146061,50,380,0.345305,4.264035
4,0.158433,49,385,0.19227,4.429004
3,0.13793,40,286,0.372268,3.956963
4,0.23013,49,435,0.345305,5.277119
4,0.132271,49,343,0.300518,3.797643
3,0.120587,42,202,0.497677,3.335565
4,0.158346,49,385,0.192342,4.207791
3,0.137935,40,286,0.37234,3.731677
3,0.120596,42,202,0.497691,3.309598
4,0.093088,50,297,0.345305,5.123522
4,0.145387,49,266,0.501555,4.317652
3,0.184839,40,240,0.321557,5.194695
3,0.087855,50,379,0.165307,5.186153
4,0.252341,48,435,0.345305,5.669396
4,0.093088,49,293,0.345305,5.125286
4,0.093088,49,329,0.448608,3.960167
4,0.145447,49,265,0.501573,3.436788
3,0.184893,40,240,0.321575,5.201628
4,0.184893,49,280,0.449396,4.756761
4,0.10143,41,220,0.313293,3.758137
4,0.070745,49,462,0.20187,4.153445
3,0.14498,43,251,0.482345,4.731089
4,0.160357,50,347,0.413946,5.092748
4,0.093088,49,334,0.345305,5.25956
4,0.093088,50,289,0.345305,5.216502
3,0.116014,45,199,0.523036,4.867732
4,0.296012,42,287,0.354798,4.655319
3,0.207851,50,188,0.434165,4.333178
3,0.027853,40,170,0.34921,5.172537
4,0.180228,48,279,0.532433,5.063935
3,0.078742,49,407,0.239653,4.720128
